canonical_lineage_id,canonical_label,lineage_class,family,canonical_source_locator,registry_entry_ids,source_object_ids,aliases_and_related_views,representation_note,evidence_types,organism,assay,perturbation,acquisition_readiness,rights_pool,rights_basis,overlap_decision,verification_basis,limitations
figshare:9393293-19Q4,PRISM Repurposing 19Q4,experimental_lineage,fitness-sl,https://doi.org/10.6084/m9.figshare.9393293,FSL09,prism-repurposing-19q4-primary-screen-cell-line-info-csv; prism-repurposing-19q4-primary-screen-pooling-info-csv; prism-repurposing-19q4-primary-screen-readme-txt; prism-repurposing-19q4-primary-screen-replicate-collapsed-logfold-change-csv; prism-repurposing-19q4-primary-screen-replicate-collapsed-treatment-info-csv,,,drug_response,Homo sapiens,small-molecule viability,single drugs,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL09: files_checksummed,
figshare:c.8043392,Harle et al. 2025 pan-cancer dual-guide compendium,experimental_lineage,fitness-sl,https://doi.org/10.6084/m9.figshare.c.8043392 | Figshare 46763992/46763995; slp/raw/harle-2025/,FSL15; slp_raw_harle_2025,harle-2025-46763992; harle-2025-46763995,harle-2025; harle-fitness; harle-gi | harle-fitness; harle-gi,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,direct_pair_GI | direct_pair_GI / fitness context,Homo sapiens; not stated in supplied reconciliation,CRISPR double knockout (pan-cancer dual-guide); pan-cancer dual-guide compendium,gene pairs; dual-guide genetic perturbation,materialized_or_censused_SLP_raw,open-attribution (per reconciliation),Reconciliation states MIT.,Merged with FSL15: reconciliation calls these the same Figshare objects; do not double-count.,FSL15: files_checksummed | slp_raw_harle_2025: Bucket census metadata: 440 MB DATA and METADATA tars; pinned md5 reported by reconciliation.,
geo:GSE178179,pgPEN GSE178179 metadata,experimental_lineage,fitness-sl,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178179,FSL16,,,,direct_pair_GI,Homo sapiens,CRISPR paired-guide paralog double knockout,paralog gene pairs,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL16: files_checksummed,
GPSAdb dataset IDs / GEO accessions inside archive,GPSAdb 2.0 homepage provenance + figshare manifest,experimental_lineage,bulk-atlases,https://www.gpsadb.com/,bulk-atlases-gpsadb,,,,bulk RNA-seq differential-expression contrasts,"human, mouse (per homepage)",bulk RNA-seq,gene knockdown/knockout,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-gpsadb: manifest_only,
GSE101406,LINCS P100/GCP chemical signatures (Panorama Public 2021),experimental_lineage,proteomics-metab,https://panoramaweb.org/Panorama%20Public/2021/LINCS%20PCCSE%20P100%202020/project-begin.view | https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101406,panorama_lincs_p100; GSE101406,,,,"measured targeted mass-spectrometry proteomics (P100 phosphopeptide, GCP histone peptide) | measured proteomic profiles with matched L1000 transcriptomic subset",Homo sapiens,Targeted MS (P100/GCP); P100/GCP targeted MS + L1000,118 published-release small molecules (current Panorama summary lists 128); LINCS small molecules (Connectivity Map),metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,panorama_lincs_p100: files_checksummed | GSE101406: files_checksummed,
GSE116436,NCI Transcriptional Pharmacodynamics Workbench (GSE116436),experimental_lineage,chemical-tx,https://tpwb.nci.nih.gov/GeneExpressionNCI60/index.html,chemical-tx_nci_tpw,,,,perturbation_response_transcriptomics_timecourse,human NCI-60 panel,Affymetrix whole-genome expression,"15 anticancer drugs, low/high dose, 2/6/24h",metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_nci_tpw: manifest_only,
GSE119450,Shifrut et al. 2018 SLICE/CROP-seq CD8 T cells,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119450,GSE119450,,,,measurement,Human primary CD8 T cells,CROP-seq,"CRISPR KO, 48 sgRNAs, 2 donors +/- restimulation",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE119450: files_checksummed,
GSE120222,Novartis DRUG-seq proof-of-concept (GSE120222),experimental_lineage,chemical-tx,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120222,chemical-tx_drugseq433,,,,perturbation_response_transcriptomics,human (U2OS),DRUG-seq (3' RNA-seq),433 compounds x 8 doses,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_drugseq433: files_checksummed,
GSE120222_program_drugseq,Novartis DRUG-seq U2OS MoABox (Zenodo 14291446),experimental_lineage,chemical-tx,https://zenodo.org/records/14291446,chemical-tx_drugseq_moabox,drugseq-2018-u2os-gse120222-raw-tar,,,perturbation_response_transcriptomics,human (U2OS),DRUG-seq,"4,343 compounds x 4 doses (0.01/0.1/1/10 uM, 24h)",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_drugseq_moabox: files_checksummed,
GSE120861,Gasperini et al. 2019 genome-wide enhancer screen,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120861,GSE120861,,,,measurement,Human (K562),Perturb-seq (CRISPRi enhancer),CRISPRi enhancer tiling,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE120861: files_checksummed,
GSE133344,Norman et al. 2019 CRISPRa genetic interaction manifolds,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344,GSE133344,,population-norman; response-norman,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,measurement,Human (K562),CRISPRa/Perturb-seq,CRISPRa single and combinatorial gene overexpression,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE133344: files_checksummed,
GSE139944,sci-Plex 3 chemical screen (GSE139944),experimental_lineage,chemical-tx,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,chemical-tx_sciplex3,sciplex3-2019-gsm4150376-sciplex1-hek293t-nih3t3-umi-count-matrix-gz; sciplex3-2019-gsm4150376-sciplex1-hek293t-nih3t3-cell-annotations-txt-gz; sciplex3-2019-gsm4150376-sciplex1-hek293t-nih3t3-gene-annotations-txt-gz; sciplex3-2019-gsm4150376-sciplex1-hek293t-nih3t3-hashtable-out-txt-gz; sciplex3-2019-gsm4150376-sciplex1-cds-rds-gz; sciplex3-2019-gsm4150376-sciplex1-hashsamplesheet-txt-gz; sciplex3-2019-gsm4150376-sciplex1-pdata-txt-gz; sciplex3-2019-gsm4150377-sciplex2-a549-transcription-modulators-cell-annot; sciplex3-2019-gsm4150377-sciplex2-a549-transcription-modulators-gene-annot; sciplex3-2019-gsm4150377-sciplex2-a549-transcription-modulators-hashtable-; sciplex3-2019-gsm4150377-sciplex2-cds-rds-gz; sciplex3-2019-gsm4150377-sciplex2-hashsamplesheet-txt-gz; sciplex3-2019-gsm4150377-sciplex2-pdata-txt-gz; sciplex3-2019-gsm4150378-sciplex3-a549-mcf7-k562-hashtable-metadata-txt-gz; sciplex3-2019-gsm4150378-sciplex3-a549-mcf7-k562-screen-cell-annotations-t; sciplex3-2019-gsm4150378-sciplex3-a549-mcf7-k562-screen-gene-annotations-t; sciplex3-2019-gsm4150378-sciplex3-hashsamplesheet-txt-gz; sciplex3-2019-gsm4150378-sciplex3-pdata-txt-gz; sciplex3-2019-gsm4150379-sciplex4-a549-mcf7-hdaci-cell-annotations-txt-gz; sciplex3-2019-gsm4150379-sciplex4-a549-mcf7-hdaci-gene-annotations-txt-gz; sciplex3-2019-gsm4150379-sciplex4-a549-mcf7-hdaci-hashtable-out-txt-gz; sciplex3-2019-gsm4150379-sciplex4-hashsamplesheet-txt-gz; sciplex3-2019-gsm4150379-sciplex4-pdata-txt-gz,,,perturbation_response_singlecell,"human/mouse cell lines (HEK293T, NIH3T3, A549, MCF7, K562)",sci-RNA-seq (snRNA-seq),188 small molecules + vehicle,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_sciplex3: manifest_only,
GSE146194,Replogle et al. 2020 direct-capture combinatorial Perturb-seq,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146194,GSE146194,,,,measurement,Human (K562),Perturb-seq (direct capture),CRISPRi combinatorial,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE146194: files_checksummed,
GSE152988,Tian et al. 2021 neuron CROP-seq,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152988,GSE152988,,,,measurement,Human (iPSC neurons),CROP-seq,CRISPRi/a (184 i + 100 a targets),materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE152988: files_checksummed,
GSE153056,Papalexi et al. 2021 ECCITE-seq checkpoint,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153056,GSE153056,,,,measurement,Human (THP-1),ECCITE-seq/CITE,"CRISPR loss-of-function, 111-guide library",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE153056: files_checksummed,
GSE157977,Jin et al. 2020 in vivo brain Perturb-seq,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157977 | https://singlecell.broadinstitute.org/single_cell/study/SCP1184,GSE157977; SCP1184,,SCP1184/GSE157977,,measurement,Mouse (in vivo neocortex); Mouse,Perturb-seq,"CRISPRi/CRISPRa, 35 ASD/ND genes; CRISPRi/a, 35 ASD/ND genes",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,Merged SCP1184 with GSE157977 because reconciliation explicitly identifies SCP1184/GSE157977 as the same Jin 2020 lineage.,GSE157977: files_checksummed | SCP1184: manifest_only,
GSE186341,PANACEA DREAM public subset (GSE186341),experimental_lineage,chemical-tx,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186341,chemical-tx_panacea,,,,perturbation_response_transcriptomics,human (11 cancer cell lines),whole-transcriptome RNA-seq,"32 kinase inhibitors at line-specific 48h-IC20 doses, 24h",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_panacea: files_checksummed,
GSE190604,Schmidt et al. 2022 primary T-cell CRISPRa Perturb-seq,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190604,GSE190604,,,,measurement,Human primary T cells,Perturb-seq (CRISPRa),CRISPRa cytokine-regulator perturbations,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE190604: files_checksummed,
GSE193460,Dhainaut et al. 2022 Perturb-map,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193460,GSE193460,,,,measurement,Mouse lung tumor + human cells,Perturb-map,"CRISPR KO, 35 genes/Pro-Code",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE193460: files_checksummed,
GSE213957,Wessels et al. 2023 CaRPool-seq combinatorial,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213957,GSE213957,,,,measurement,"Human (THP-1, HEK293FT)",CaRPool-seq/Perturb-seq,CRISPR Cas13d 28 singles + 158 pairs,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE213957: files_checksummed,
GSE216481,Joung et al. 2023 TF atlas of directed differentiation,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216481,GSE216481,,,,measurement,Human hESC,Perturb-seq (ORF),"ORF gain-of-function, 3,266 TF isoforms",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE216481: files_checksummed,
GSE218566,Cao et al. 2023 PerturbSci-Kinetics,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218566,GSE218566,,,,measurement,Human,Perturb-seq (kinetics),"CRISPRi, 228 genes/699 sgRNAs",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE218566: files_checksummed,
GSE221321,Perturb-FISH,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221321 | https://download.brainimagelibrary.org/0c/bd/0cbd479c521afff9/,GSE221321; PERTURB-FISH-BINAN-2025,,,,measurement,"Human (THP-1, hIPSC astrocytes, xenografts)",Perturb-FISH (spatial imaging); Perturb-FISH (MERFISH + CRISPR),"CRISPR KO imaging screen; CRISPR KO: astrocytes 127 ASD targets/485-gene panel; THP1 35 genes/74 guides (claimed, unverified)",materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE221321: files_checksummed | PERTURB-FISH-BINAN-2025: files_checksummed,
GSE264667,Nadig et al. 2024/2025 HepG2/Jurkat essential atlases,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667 | https://singlecell.broadinstitute.org/single_cell/study/SCP2554 | https://doi.org/10.6084/m9.figshare.29498366,GSE264667; SCP2554; NADIG-FIGSHARE-29498366,,SCP2554/GSE264667 | population-hepg2,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,measurement,"Human (HepG2, Jurkat); Human (HepG2, Jurkat, K562, RPE1)",Perturb-seq; Perturb-seq pseudobulk DE,CRISPRi essentialome; CRISPRi essentialome pseudobulk,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,Merged SCP2554 with GSE264667 because reconciliation explicitly identifies SCP2554/GSE264667 as the same Nadig lineage.,GSE264667: files_checksummed | SCP2554: manifest_only | NADIG-FIGSHARE-29498366: manifest_only,
GSE277747,MultiPerturb-seq,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277747,GSE277747,,,,measurement,Human BT16 + mouse NIH3T3,Multiome Perturb-seq,CRISPR epigenomic remodeler screen,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE277747: files_checksummed,
GSE288996,CAT-ATAC,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288996,GSE288996,,,,measurement,"Human (K562, iPSC)",Perturb-sci-ATAC (CAT-ATAC),CRISPRi/CRISPRko + ATAC,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE288996: files_checksummed,
GSE314342,Primary CD4 T-cell genome-scale Perturb-seq atlas,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314342,GSE314342,,,,measurement,Human primary CD4 T cells (4 donors x rest/8h/48h),Perturb-seq,"CRISPRi genome-scale (12,779 genes claimed; unverified here)",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE314342: files_checksummed,
GSE90063,Dixit et al. 2016 Perturb-seq,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063,GSE90063,,,,measurement,Human K562; mouse BMDC,Perturb-seq,CRISPRi loss-of-function,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE90063: files_checksummed,
GSE90546,Adamson et al. 2016 UPR Perturb-seq,experimental_lineage,sc-genetic,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90546,GSE90546,,,,measurement,Human (K562),Perturb-seq,CRISPRi loss-of-function,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GSE90546: files_checksummed,
idr0133,IDR0133 cellular-injury Cell Painting (study metadata),experimental_lineage,imaging,https://idr.openmicroscopy.org/study/idr0133/,idr0133,,,,measured,Homo sapiens (U-2 OS),Cell Painting (5-channel 16-bit),218 cytotoxic/nuisance compounds in concentration-response plus 283 compounds retested once,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,idr0133: manifest_only,
igvf-hpsc-perturbseq,IGVF differentiating hPSC Perturb-seq analysis sets,experimental_lineage,sc-genetic,https://data.igvf.org/,IGVF-hPSC-PERTURBSEQ,,,,measurement,Human (hPSC lines),Perturb-seq,Genetic perturbations during cardiomyocyte/neural differentiation,blocked_acquisition,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,IGVF-hPSC-PERTURBSEQ: unresolved,
in4mer-2024,in4mer 2024 Cas12a multiplex knockout supplements,experimental_lineage,fitness-sl,slp/raw/in4mer-2024/,slp_raw_in4mer_2024,in4mer-2024-44435633; in4mer-2024-44435630; in4mer-2024-44435636; in4mer-2024-44435645; in4mer-2024-44435651; in4mer-2024-44435639; in4mer-2024-44435648; in4mer-2024-44435654; in4mer-2024-44435657; in4mer-2024-44435660; in4mer-2024-44435672; in4mer-2024-44435663; in4mer-2024-44435666; in4mer-2024-44436191; in4mer-2024-44436203,in4mer-2024; in4mer-original | in4mer-original,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,direct_pair_GI,not stated in supplied reconciliation,paralog SL screens,Cas12a multiplex knockout,materialized_or_censused_SLP_raw,open-attribution (per reconciliation),Reconciliation states CC BY 4.0.,New raw experimental lineage; in4mer-original is a prepared view.,"slp_raw_in4mer_2024: Bucket census metadata: 15 supplement files, 46 MB.",
KnockTF DataSet_ID (maps to GEO/ArrayExpress accessions),KnockTF 2.0 main tables + GMT signatures,experimental_lineage,bulk-atlases,https://www.licpathway.net/KnockTFv2/download.php,bulk-atlases-knocktf2,,,,processed differential-expression tables + signature gene sets,"human, mouse, Arabidopsis thaliana, Zea mays",RNA-seq and microarray,TF/cofactor knockdown and knockout,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-knocktf2: files_checksummed,
mendeley:rdzk59n6j4,Horlbeck 2018 human CRISPRi GI map,experimental_lineage,fitness-sl,https://data.mendeley.com/datasets/rdzk59n6j4/1,FSL02,horlbeck-2018-gi-extended-data-figures-pdf; horlbeck-2018-gi-gi-correlations-html; horlbeck-2018-gi-gi-map-treeview-zip; horlbeck-2018-gi-gi-scores-html; horlbeck-2018-gi-jurkat-zip; horlbeck-2018-gi-k562-zip; horlbeck-2018-gi-cluster-annotations-jurkat-txt; horlbeck-2018-gi-cluster-annotations-k562-txt; horlbeck-2018-gi-cluster-annotations-combined-map-txt; horlbeck-2018-gi-clustering-network-zip; horlbeck-2018-gi-single-vs-double-phenotypes-k562-html,,,direct_pair_GI,Homo sapiens,CRISPRi double perturbation (paired guides),CRISPRi gene pairs,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL02: files_checksummed,
MSV000089282,DeepCoverMOA / Proteome-Wide Atlas of Drug MoA (MassIVE MSV000089282),experimental_lineage,proteomics-metab,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000089282,MSV000089282,,,,measured mass-spectrometry proteomics (drug MoA),Homo sapiens (cell lines per DeepCoverMOA),TMT LC-MS/MS whole-proteome,875 drugs/tool compounds,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,MSV000089282: files_checksummed,
MSV000093659,decryptE (MassIVE MSV000093659; PRIDE accession PXD047799 not in PRIDE DB),experimental_lineage,proteomics-metab,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?task=70cd42693c7f4d4da2cf466a0832e87d,MSV000093659,,,,measured mass-spectrometry proteomics (drug dose response),Homo sapiens,LC-MS/MS whole-proteome expression,144 clinical/research drugs,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,MSV000093659: files_checksummed,
nci-almanac-nov2017,NCI-ALMANAC,experimental_lineage,fitness-sl,https://wiki.nci.nih.gov/display/NCIDTPdata/NCI-ALMANAC,FSL07,,,,drug_combination,Homo sapiens (NCI-60 panel),two-drug combo growth inhibition,FDA-approved drug pairs,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL07: files_checksummed,Round1 unpinned manifest retains NCI-ALMANAC ComboDrugGrowth_Nov2017.zip as unresolved; it has no source URL/checksum pin in the live manifest.
open_tggates,Open TG-GATEs (LATEST),experimental_lineage,chemical-tx,https://dbarchive.biosciencedbc.jp/data/open-tggates/LATEST/,chemical-tx_open_tggates,tggates-2012-open-tggates-allattribute-zip; tggates-2012-open-tggates-main-zip,,,toxicogenomics_dose_timecourse,rat (liver/kidney in vivo) and rat/human hepatocytes in vitro,Affymetrix expression + clinical chemistry + histopathology,"170 mostly drug/toxicant compounds, up to 4 dose levels, multiple time points",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_open_tggates: files_checksummed,"The unpinned cel_file_attribute.zip is a publisher 404 response, not data, and is excluded from the live manifest; two other TG-GATEs objects remain pinned."
parse10m_pbmc_90cytokines,Parse Biosciences 10M human PBMC dataset page (data routes identified),experimental_lineage,biologic-cytokine,https://www.parsebiosciences.com/datasets/10-million-human-pbmcs-in-a-single-experiment/ | https://parse-wget.s3.us-west-2.amazonaws.com/10m/10M_PBMC_12donor_90cytokines_h5ad_20260203.zip | https://parse-wget.s3.us-west-2.amazonaws.com/10m/pseudobulks_20260203.zip | https://parse-wget.s3.us-west-2.amazonaws.com/10m/DEGs_20260203.csv | https://apps.allenimmunology.org/aifi/resources/parse-10m-cytokines/downloads/ | https://allenimmunology.org/public/publication/download/fab3f091-63cd-46d3-85fd-a4d5204af649/filesets/87ce4a04-98f1-43b3-aea3-1fdc95272fea/parse_cytokine_deg_censored.csv | https://allenimmunology.org/public/publication/download/fab3f091-63cd-46d3-85fd-a4d5204af649/filesets/87ce4a04-98f1-43b3-aea3-1fdc95272fea/parse_cytokine_deg_uncensored.csv | https://doi.org/10.1136/jitc-2025-sitc2025.0941,parse10m_dataset_page; parse10m_full_h5ad; parse10m_pseudobulks; parse10m_degs; allen_aifi_parse10m_deg_gsea; parse10m_deg_censored; parse10m_deg_uncensored; sitc2025_abstract_941_metadata; parse_pseudobulks_capexception,,parse-10m-cytokines | parse-10m-cytokines pseudobulk aggregates (technical resample/aggregate),Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,metadata | derived_response_tables | measured single-cell RNA aggregated to pseudobulk,Homo sapiens,"scRNA-seq (Parse Evercode WT GigaLab); scRNA-seq reanalysis; scRNA-seq; single-cell RNA-seq (Parse), pseudobulk aggregates","90 cytokines, 24 h, 12 donors; 90 cytokines + PBS control, 24h",materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,"Merged parse-10m-cytokines pseudobulks with Parse10M source; it is an aggregate/resample representation, not a new experiment.",parse10m_dataset_page: manifest_only | parse10m_full_h5ad: unresolved | parse10m_pseudobulks: unresolved | parse10m_degs: unresolved | allen_aifi_parse10m_deg_gsea: files_checksummed | parse10m_deg_censored: unresolved | parse10m_deg_uncensored: unresolved | sitc2025_abstract_941_metadata: manifest_only | parse_pseudobulks_capexception: files_checksummed,
Pertorgid / Pertg accessions (source GEO/ArrayExpress in csv),PertOrg 1.0 perturbation datasets and DEG lists,experimental_lineage,bulk-atlases,https://www.inbirg.com/pertorg/download,bulk-atlases-pertorg,,,,dataset manifest + differential-expression gene lists,multi-organism (mouse shown in sample rows),bulk RNA-seq and microarray,in vivo genetic perturbation (knockdown/knockout/overexpression/mutation),materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-pertorg: files_checksummed,
PRJNA1108254,Southard/Kaden et al. CRISPRa TF atlas (RPE1-CRISPRa-TFs),experimental_lineage,sc-genetic,https://doi.org/10.5281/zenodo.15213618 | https://www.ebi.ac.uk/ena/browser/view/PRJNA1108254,ZENODO-15213618; PRJNA1108254,,,,measurement,"Human (RPE1, primary fibroblasts); Human (RPE1, fibroblasts)",Perturb-seq (CRISPRa),"CRISPRa, 1,836 TFs / 10,979 guides claimed (unverified here); CRISPRa, 1,836 TFs",materialized_fleet_evidence,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,ZENODO-15213618: manifest_only | PRJNA1108254: files_checksummed,
PRJNA1128171,Multiome Perturb-seq (Metzner/Southard) SRA metadata,experimental_lineage,sc-genetic,https://www.ebi.ac.uk/ena/browser/view/PRJNA1128171,PRJNA1128171,,,,measurement,Human (RPE1),Multiome Perturb-seq (RNA+ATAC),"CRISPRi, 13 chromatin remodelers",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PRJNA1128171: files_checksummed,
